title,singer,description
鳥の詩,Lia,『AIR』OP
Farewell song,Lia,『AIR』ED
メグメル,riya,『CLANNAD -クラナド-』OP
だんご大家族,茶太,『CLANNAD -クラナド-』ED
時を刻む唄,Lia,『CLANNAD 〜AFTER STORY〜』OP
TORCH,Lia,『CLANNAD 〜AFTER STORY〜』ED
緋色の空,川田まみ,『灼眼のシャナ』OP
夜明け生まれ来る少女,高橋洋子,『灼眼のシャナ』ED
Light My Fire,KOTOKO,『灼眼のシャナ 第3期』OP
First kiss,ICHIKO,『ゼロの使い魔』OP
残酷な天使のテーゼ,高橋洋子,『新世紀エヴァンゲリオン』OP
君が好きだと叫びたい,BAAD,『SLAM DUNK』OP
あなただけ見つめてる,大黒摩季,『SLAM DUNK』ED
世界が終わるまでは,WANDS,『SLAM DUNK』ED
七つの海よりキミの海,上坂すみれ,『波打際のむろみさん』OP
リフレクティア,eufonius,『true tears』OP
アブラムシの唄,石動乃絵（高垣彩陽）,『true tears』〜乃絵の好きな歌〜
太陽曰く燃えよカオス,後ろから這いより隊G（ニャル子〈阿澄佳奈〉、クー子〈松来未祐〉、暮井珠緒〈大坪由佳〉）,『這いよれ! ニャル子さん』OP
恋は渾沌の隷也（こいはカオスのしもべなり）,後ろから這いより隊G（ニャル子〈阿澄佳奈〉、クー子〈松来未祐〉、暮井珠緒〈大坪由佳〉）,『這いよれ! ニャル子さんW』OP
ギミー!レボリューション,内田真礼,『俺、ツインテールになります。』OP
愛をとりもどせ!!,クリスタルキング,『北斗の拳』OP
ジョジョ 〜その血の運命〜,富永TOMMY弘明,『ジョジョの奇妙な冒険』OP
コネクト,ClariS,『魔法少女まどか☆マギカ』OP
Magia,Kalafina,『魔法少女まどか☆マギカ』ED
ルミナス,ClariS,『魔法少女まどか☆マギカ 前編』OP
irony,ClariS,『俺の妹がこんなに可愛いわけがない』OP
Los! Los! Los!,悠木碧,『幼女戦記』ED
旅の途中,清浦夏実,『狼と香辛料』OP
蜜の夜明け,新居昭乃,『狼と香辛料 第2期』OP
My Dearest,supercell,『ギルティクラウン』OP
The Everlasting Guilty Crown,EGOIST,『ギルティクラウン』OP
